,lower Modal_Price,upper Modal_Price
2017-04-01,247.42138733133024,254.9757764061616
2017-05-01,246.9685412665961,259.47450351846413
2017-06-01,248.6328003845305,265.511252269682
2017-07-01,249.97302849689444,270.7465730964862
2017-08-01,249.70827449273276,273.97814662801096
2017-09-01,249.1153606356497,276.55288843547925
2017-10-01,249.55585330762779,279.8912212654651
2017-11-01,247.81706322007378,280.8279795871405
2017-12-01,245.39179715852663,280.89364405428114
2018-01-01,243.9301606904872,281.7680049216181
2018-02-01,242.5417257747745,282.5840391255778
2018-03-01,241.4908563789772,283.6246241403965
2018-04-01,240.7515683179079,285.5823609193106
2018-05-01,241.28295432596795,288.8870570628199
2018-06-01,243.47955937748068,293.83281304055055
2018-07-01,245.26770920902283,298.29813265537217
2018-08-01,245.53743295820382,301.15470543131727
2018-09-01,245.36751688184683,303.4775286212469
2018-10-01,246.1987313401245,306.7102883359398
2018-11-01,244.6716762766241,307.4992452777983
2018-12-01,242.3665965495612,307.4311172570225
2019-01-01,241.1220978596353,308.35088937991094
2019-02-01,239.87889845824918,309.205163867118
2019-03-01,238.85551019335932,310.21766688117543
2019-04-01,238.2951012831692,312.03888622610134
2019-05-01,238.9850451631172,315.1641861745169
2019-06-01,241.31145538967056,319.9243617560753
2019-07-01,243.22123825799483,324.23589118361093
2019-08-01,243.61470460428393,326.9846906358581
2019-09-01,243.54812821370078,329.22129257685754
2019-10-01,244.46947512094192,332.3924367038996
2019-11-01,243.00490320876958,333.1253070448616
2019-12-01,240.7440465093717,333.01159823564694
2020-01-01,239.54515973207043,333.91200927264623
2020-02-01,238.33290799899626,334.7536806299507
2020-03-01,237.32201327891542,335.75363049172506
2020-04-01,236.8041386801396,337.53655106892523
2020-05-01,237.5337858859708,340.6200644479794
2020-06-01,239.8931102029158,345.34174967697385
2020-07-01,241.8297796370261,349.6231775492378
2020-08-01,242.24477066500748,352.3520489379329
2020-09-01,242.19222028277542,354.57633636904666
2020-10-01,243.12114877081663,357.74275000937104
2020-11-01,241.6566898807656,358.4761468534449
2020-12-01,239.38985221130798,358.3682832696232
2021-01-01,238.181274318282,359.28100995356033
2021-02-01,236.9544058257427,360.1391321385904
2021-03-01,235.92394580362904,361.158641343416
2021-04-01,235.40081177334304,362.94724481755014
2021-05-01,236.1256894201573,366.0353194753267
