Modal_Price,Price_Date
96.9,30 Apr 04
97.8,30 May 04
98.7,30 Jun 04
98.9,30 Jul 04
99.7,30 Aug 04
100.3,30 Sep 04
101.1,30 Oct 04
100.7,30 Nov 04
100.8,30 Dec 04
101.2,30 Jan 05
102,30 Feb 05
102.1,30 Mar 05
102.5,30 Apr 05
102.5,30 May 05
104.3,30 Jun 05
105.7,30 Jul 05
106.7,30 Aug 05
107,30 Sep 05
107.6,30 Oct 05
106.6,30 Nov 05
105,30 Dec 05
104.9,30 Jan 06
105,30 Feb 06
105,30 Mar 06
105.6,30 Apr 06
106.4,30 May 06
107,30 Jun 06
107.3,30 Jul 06
107.8,30 Aug 06
108.9,30 Sep 06
111.7,30 Oct 06
112,30 Nov 06
111.9,30 Dec 06
113.3,30 Jan 07
113.9,30 Feb 07
114.5,30 Mar 07
115.7,30 Apr 07
116.2,30 May 07
116.6,30 Jun 07
117.8,30 Jul 07
119.3,30 Aug 07
120.6,30 Sep 07
126.1,30 Oct 07
125.4,30 Nov 07
124.8,30 Dec 07
127.3,30 Jan 08
128.8,30 Feb 08
130.9,30 Mar 08
132.6,30 Apr 08
132.7,30 May 08
132.6,30 Jun 08
133.9,30 Jul 08
134.9,30 Aug 08
135.7,30 Sep 08
145,30 Oct 08
146.3,30 Nov 08
146.3,30 Dec 08
147,30 Jan 09
149.3,30 Feb 09
151.1,30 Mar 09
150.9,30 Apr 09
151,30 May 09
151.8,30 Jun 09
151.4,30 Jul 09
153.1,30 Aug 09
157.6,30 Sep 09
160.2,30 Oct 09
162.6,30 Nov 09
164.5,30 Dec 09
164.7,30 Jan 10
164.1,30 Feb 10
163.3,30 Mar 10
163.5,30 Apr 10
163.5,30 May 10
164.3,30 Jun 10
165.9,30 Jul 10
164.4,30 Aug 10
166.6,30 Sep 10
168.7,30 Oct 10
170.3,30 Nov 10
171.1,30 Dec 10
170.6,30 Jan 11
170.4,30 Feb 11
167,30 Mar 11
167.3,30 Apr 11
169.7,30 May 11
169,30 Jun 11
169.9,30 Jul 11
172.9,30 Aug 11
173.3,30 Sep 11
176.3,30 Oct 11
175.4,30 Nov 11
173.1,30 Dec 11
172.2,30 Jan 12
173,30 Feb 12
175.4,30 Mar 12
177.3,30 Apr 12
178,30 May 12
181.6,30 Jun 12
186.8,30 Jul 12
190.8,30 Aug 12
195.1,30 Sep 12
202.7,30 Oct 12
202.2,30 Nov 12
202.7,30 Dec 12
202.8,30 Jan 13
203.7,30 Feb 13
206.2,30 Mar 13
207.6,30 Apr 13
210.9,30 May 13
218.7,30 Jun 13
226.3,30 Jul 13
231.5,30 Aug 13
231.4,30 Sep 13
232,30 Oct 13
232.5,30 Nov 13
230.1,30 Dec 13
230,30 Jan 14
231.5,30 Feb 14
232.1,30 Mar 14
234.1,30 Apr 14
237.8,30 May 14
241.1,30 Jun 14
244.7,30 Jul 14
246.8,30 Aug 14
247.3,30 Sep 14
247,30 Oct 14
245.4,30 Nov 14
240.3,30 Dec 14
239.2,30 Jan 15
239.1,30 Feb 15
233.6,30 Mar 15
234,30 Apr 15
234.4,30 May 15
237.2,30 Jun 15
237.7,30 Jul 15
237.2,30 Aug 15
238,30 Sep 15
238.6,30 Oct 15
237.4,30 Nov 15
237.3,30 Dec 15
238.9,30 Jan 16
238.9,30 Feb 16
238.7,30 Mar 16
238.1,30 Apr 16
241.8,30 May 16
248.8,30 Jun 16
253.9,30 Jul 16
254.7,30 Aug 16
254.9,30 Sep 16
255.4,30 Oct 16
254.7,30 Nov 16
253.6,30 Dec 16
252,30 Jan 17
255.1,30 Feb 17
250.8,30 Mar 17
